"year","rank","name","artist","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","artist_popularity","artist_followers","duration_seconds","playlist","group"
"2012","1","Somebody That I Used To Know","Gotye",0.864,0.495,0,-7.036,0.037,0.591,0.000133,0.0992,0.72,129.062,65,2318472,244.973,"popular","popular"
"2012","2","Call Me Maybe","Carly Rae Jepsen",0.783,0.58,7,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,70,5163076,193.4,"popular","popular"
"2012","3","We Are Young (feat. Janelle Monáe)","fun.",0.378,0.638,10,-5.576,0.075,0.02,7.66e-05,0.0849,0.735,184.086,64,3415529,250.627,"popular","popular"
"2012","4","Payphone","Maroon 5",0.739,0.756,4,-4.828,0.0394,0.0136,0,0.37,0.523,110.028,82,41512732,231.387,"popular","popular"
"2012","5","Lights","Ellie Goulding",0.703,0.731,8,-6.283,0.0311,0.0721,0.00191,0.138,0.719,120.028,77,12324407,244.267,"popular","popular"
"2012","6","Glad You Came","The Wanted",0.61,0.841,7,-4.579,0.0692,0.056,9.85e-06,0.118,0.431,126.889,62,2636747,198.187,"popular","popular"
"2012","7","Stronger (What Doesn't Kill You)","Kelly Clarkson",0.562,0.939,0,-4.282,0.0475,0.046,0,0.112,0.684,116.044,72,10197271,221.947,"popular","popular"
"2012","8","We Found Love","Rihanna",0.734,0.766,1,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.986,87,58187959,215.227,"popular","popular"
"2012","9","Starships","Nicki Minaj",0.747,0.716,11,-2.457,0.075,0.135,0,0.251,0.751,125.008,84,29852166,210.627,"popular","popular"
"2012","10","What Makes You Beautiful","One Direction",0.726,0.787,4,-2.494,0.0737,0.009,0,0.0596,0.888,124.99,81,33663905,199.987,"popular","popular"
"2012","11","Wild Ones (feat. Sia)","Flo Rida",0.608,0.86,5,-5.324,0.0554,0.0991,0,0.262,0.437,127.075,76,8824472,232.947,"popular","popular"
"2012","12","Set Fire to the Rain","Adele",0.603,0.67,2,-3.882,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,83,52181322,242.974,"popular","popular"
"2012","13","Sexy And I Know It","LMFAO",0.707,0.861,7,-4.225,0.316,0.1,0,0.191,0.795,130.021,64,4231504,199.48,"popular","popular"
"2012","14","Some Nights","fun.",0.672,0.738,0,-7.045,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,64,3415529,277.04,"popular","popular"
"2012","15","Wide Awake","Katy Perry",0.514,0.683,5,-5.099,0.0367,0.0749,2.64e-06,0.392,0.575,159.814,81,30044755,220.947,"popular","popular"
"2012","16","Good Feeling","Flo Rida",0.706,0.89,1,-4.444,0.0688,0.0588,0.00286,0.306,0.684,128.011,76,8824472,248.133,"popular","popular"
"2012","17","One More Night","Maroon 5",0.718,0.82,5,-3.453,0.0323,0.0444,0,0.0846,0.613,92.998,82,41512732,219.467,"popular","popular"
"2012","18","Drive By","Train",0.765,0.837,1,-3.113,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,70,4319594,195.973,"popular","popular"
"2012","19","The Motto","Drake",0.766,0.442,1,-8.558,0.356,0.000107,6.12e-05,0.111,0.39,201.8,96,81262154,181.573,"popular","popular"
"2012","20","Where Have You Been","Rihanna",0.719,0.847,0,-6.34,0.0916,0.00201,0.0204,0.221,0.444,127.963,87,58187959,242.68,"popular","popular"
"2012","21","Everybody Talks","Neon Trees",0.471,0.924,8,-3.906,0.0586,0.00301,0,0.313,0.725,154.961,63,1246118,177.28,"popular","popular"
"2012","22","Take Care","Drake",0.629,0.515,0,-10.358,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,96,81262154,277.387,"popular","popular"
"2012","23","Titanium (feat. Sia)","David Guetta",0.604,0.788,0,-3.673,0.103,0.0678,0.153,0.127,0.301,126.06,85,26371352,245.04,"popular","popular"
"2012","24","I Won't Give Up","Jason Mraz",0.483,0.303,4,-10.058,0.0429,0.694,0,0.115,0.139,133.406,70,7254901,240.166,"popular","popular"
"2012","25","It Will Rain","Bruno Mars",0.576,0.835,2,-6.826,0.0486,0.337,0,0.082,0.476,150.017,86,51806934,257.72,"popular","popular"
"2012","26","Mercy","Kanye West",0.563,0.496,6,-9.381,0.406,0.0685,5.8e-05,0.173,0.426,139.993,88,21750545,329.32,"popular","popular"
"2012","27","Boyfriend","Justin Bieber",0.717,0.55,10,-6.019,0.0521,0.0358,0.00196,0.126,0.332,96.976,86,74369011,171.333,"popular","popular"
"2012","28","Party Rock Anthem","LMFAO",0.75,0.727,5,-4.21,0.142,0.0189,0,0.266,0.359,129.993,64,4231504,262.173,"popular","popular"
"2012","29","Too Close","Alex Clare",0.584,0.712,11,-4.311,0.0395,0.0112,1.05e-06,0.114,0.286,126.043,50,614965,256.56,"popular","popular"
"2012","30","Part Of Me","Katy Perry",0.678,0.918,5,-4.63,0.0355,0.000417,0,0.0744,0.769,130.028,81,30044755,216.16,"popular","popular"
"2012","31","Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg",0.715,0.655,0,-6.425,0.137,0.0525,0,0.115,0.531,95.078,79,10414069,207.333,"popular","popular"
"2012","32","We Are Never Ever Getting Back Together","Taylor Swift",0.628,0.676,7,-5.911,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,100,90904304,191.88,"popular","popular"
"2012","33","As Long As You Love Me","Justin Bieber",0.571,0.873,0,-3.382,0.1,0.0811,0,0.361,0.613,139.691,86,74369011,229.467,"popular","popular"
"2012","34","Turn Me On (feat. Nicki Minaj)","David Guetta",0.705,0.794,8,-2.266,0.0593,0.0488,0,0.575,0.412,127.961,85,26371352,199.68,"popular","popular"
"2012","35","Moves Like Jagger","Maroon 5",0.72,0.748,11,-4.468,0.0464,0.0124,0,0.312,0.614,128.008,82,41512732,201.24,"popular","popular"
"2012","36","Blow Me (One Last Kiss)","P!nk",0.597,0.919,7,-2.954,0.0439,0.000145,0,0.282,0.729,113.991,78,15995610,255.587,"popular","popular"
"2012","37","Good Time","Owl City",0.56,0.872,3,-4.269,0.14,0.0239,6.98e-06,0.371,0.682,126.05,66,2384590,205.933,"popular","popular"
"2012","38","Give Your Heart a Break","Demi Lovato",0.651,0.695,6,-3.218,0.0487,0.23,0,0.144,0.569,123.008,76,26215399,205.347,"popular","popular"
"2012","39","Ni**as In Paris","JAY-Z",0.789,0.858,1,-5.542,0.311,0.127,0,0.349,0.775,140.022,81,8677391,219.333,"popular","popular"
