"year","name","artist","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","artist_popularity","artist_followers","playlist_url","duration_seconds","playlist","group"
"2012","Somebody That I Used To Know","Gotye",0.864,0.495,0,-7.036,0.037,0.591,0.000133,0.0992,0.72,129.062,65,2323179,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",244.973,"popular","popular"
"2012","Call Me Maybe","Carly Rae Jepsen",0.783,0.58,7,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,69,5173616,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",193.4,"popular","popular"
"2012","We Are Young (feat. Janelle Monáe)","fun.",0.378,0.638,10,-5.576,0.075,0.02,7.66e-05,0.0849,0.735,184.086,64,3418456,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",250.627,"popular","popular"
"2012","Payphone","Maroon 5",0.739,0.756,4,-4.828,0.0394,0.0136,0,0.37,0.523,110.028,82,41729321,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",231.387,"popular","popular"
"2012","Lights","Ellie Goulding",0.703,0.731,8,-6.283,0.0311,0.0721,0.00191,0.138,0.719,120.028,77,12380596,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",244.267,"popular","popular"
"2012","Glad You Came","The Wanted",0.61,0.841,7,-4.579,0.0692,0.056,9.85e-06,0.118,0.431,126.889,61,2640139,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",198.187,"popular","popular"
"2012","Stronger (What Doesn't Kill You)","Kelly Clarkson",0.562,0.939,0,-4.282,0.0475,0.046,0,0.112,0.684,116.044,74,10264987,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",221.947,"popular","popular"
"2012","We Found Love","Rihanna",0.734,0.766,1,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.986,87,58623404,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",215.227,"popular","popular"
"2012","Starships","Nicki Minaj",0.747,0.716,11,-2.457,0.075,0.135,0,0.251,0.751,125.008,84,30126326,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",210.627,"popular","popular"
"2012","What Makes You Beautiful","One Direction",0.726,0.787,4,-2.494,0.0737,0.009,0,0.0596,0.888,124.99,81,33919170,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",199.987,"popular","popular"
"2012","Wild Ones (feat. Sia)","Flo Rida",0.608,0.86,5,-5.324,0.0554,0.0991,0,0.262,0.437,127.075,76,8860312,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",232.947,"popular","popular"
"2012","Set Fire to the Rain","Adele",0.603,0.67,2,-3.882,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,83,52649190,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",242.974,"popular","popular"
"2012","Sexy And I Know It","LMFAO",0.707,0.861,7,-4.225,0.316,0.1,0,0.191,0.795,130.021,63,4251786,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",199.48,"popular","popular"
"2012","Some Nights","fun.",0.672,0.738,0,-7.045,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,64,3418456,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",277.04,"popular","popular"
"2012","Wide Awake","Katy Perry",0.514,0.683,5,-5.099,0.0367,0.0749,2.64e-06,0.392,0.575,159.814,81,30462395,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",220.947,"popular","popular"
"2012","Good Feeling","Flo Rida",0.706,0.89,1,-4.444,0.0688,0.0588,0.00286,0.306,0.684,128.011,76,8860312,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",248.133,"popular","popular"
"2012","One More Night","Maroon 5",0.718,0.82,5,-3.453,0.0323,0.0444,0,0.0846,0.613,92.998,82,41729321,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",219.467,"popular","popular"
"2012","Drive By","Train",0.765,0.837,1,-3.113,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,70,4333405,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",195.973,"popular","popular"
"2012","The Motto","Drake",0.766,0.442,1,-8.558,0.356,0.000107,6.12e-05,0.111,0.39,201.8,95,82201449,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",181.573,"popular","popular"
"2012","Where Have You Been","Rihanna",0.719,0.847,0,-6.34,0.0916,0.00201,0.0204,0.221,0.444,127.963,87,58623404,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",242.68,"popular","popular"
"2012","Everybody Talks","Neon Trees",0.471,0.924,8,-3.906,0.0586,0.00301,0,0.313,0.725,154.961,62,1248931,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",177.28,"popular","popular"
"2012","Take Care","Drake",0.629,0.515,0,-10.358,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,95,82201449,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",277.387,"popular","popular"
"2012","Titanium (feat. Sia)","David Guetta",0.604,0.788,0,-3.673,0.103,0.0678,0.153,0.127,0.301,126.06,85,26460778,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",245.04,"popular","popular"
"2012","I Won't Give Up","Jason Mraz",0.483,0.303,4,-10.058,0.0429,0.694,0,0.115,0.139,133.406,69,7282258,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",240.166,"popular","popular"
"2012","It Will Rain","Bruno Mars",0.576,0.835,2,-6.826,0.0486,0.337,0,0.082,0.476,150.017,86,52305779,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",257.72,"popular","popular"
"2012","Mercy","Kanye West",0.563,0.496,6,-9.381,0.406,0.0685,5.8e-05,0.173,0.426,139.993,89,22095331,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",329.32,"popular","popular"
"2012","Boyfriend","Justin Bieber",0.717,0.55,10,-6.019,0.0521,0.0358,0.00196,0.126,0.332,96.976,87,74713042,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",171.333,"popular","popular"
"2012","Party Rock Anthem","LMFAO",0.75,0.727,5,-4.21,0.142,0.0189,0,0.266,0.359,129.993,63,4251786,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",262.173,"popular","popular"
"2012","Too Close","Alex Clare",0.584,0.712,11,-4.311,0.0395,0.0112,1.05e-06,0.114,0.286,126.043,49,615268,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",256.56,"popular","popular"
"2012","Part Of Me","Katy Perry",0.678,0.918,5,-4.63,0.0355,0.000417,0,0.0744,0.769,130.028,81,30462395,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",216.16,"popular","popular"
"2012","Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg",0.715,0.655,0,-6.425,0.137,0.0525,0,0.115,0.531,95.078,79,10575074,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",207.333,"popular","popular"
"2012","We Are Never Ever Getting Back Together","Taylor Swift",0.628,0.676,7,-5.911,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,100,93162122,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",191.88,"popular","popular"
"2012","As Long As You Love Me","Justin Bieber",0.571,0.873,0,-3.382,0.1,0.0811,0,0.361,0.613,139.691,87,74713042,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",229.467,"popular","popular"
"2012","Turn Me On (feat. Nicki Minaj)","David Guetta",0.705,0.794,8,-2.266,0.0593,0.0488,0,0.575,0.412,127.961,85,26460778,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",199.68,"popular","popular"
"2012","Moves Like Jagger","Maroon 5",0.72,0.748,11,-4.468,0.0464,0.0124,0,0.312,0.614,128.008,82,41729321,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",201.24,"popular","popular"
"2012","Blow Me (One Last Kiss)","P!nk",0.597,0.919,7,-2.954,0.0439,0.000145,0,0.282,0.729,113.991,78,16103521,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",255.587,"popular","popular"
